Model,accuracy,macro f1-score,f1-CLIMATE,f1-MISC,precision-CLIMATE,precision-MISC,recall-CLIMATE,recall-MISC
BERT_512_5e-05_10_3_8_custom_Adam-trial,0.955503512880562,0.946885331762087,,,,,,
BERT_512_5e-05_10_3_8_custom_Adam-trial,0.955503512880562,0.946885331762087,0.9254901960784307,0.9682804674457428,0.923679060665362,0.969089390142022,0.927308447937132,0.967472894078398
BERT_512_5e-05_10_3_8_custom_Adam-trial,0.955503512880562,0.946885331762087,0.9254901960784307,0.9682804674457428,0.923679060665362,0.969089390142022,0.927308447937132,0.967472894078398
BERT_512_5e-05_10_3_8_custom_Adam-trial,0.955503512880562,0.946885331762087,0.9254901960784307,0.9682804674457428,0.923679060665362,0.969089390142022,0.927308447937132,0.967472894078398
BERT_512_5e-05_10_3_8_custom_Adam-trial,0.953747072599532,0.9441833528790052,0.921078921078921,0.967287784679089,0.9369918699186992,0.960526315789473,0.9056974459724948,0.974145120934112
BERT_512_5e-05_10_3_8_binary_Adam-trial,0.953747072599532,0.944695081488804,0.922320550639135,0.967069612338474,0.9232283464566928,0.966666666666667,0.921414538310412,0.967472894078398
BERT_512_5e-05_10_3_8_custom_sgd-trial,0.701990632318501,0.4124527003783969,0.0,0.8249054007567941,0.0,0.701990632318501,0.0,1.0
BERT_512_0.0001_10_3_8_custom_Adam-trial,0.9297423887587822,0.9197006168196178,0.8913043478260869,0.9480968858131488,0.826890756302521,0.9847259658580412,0.9666011787819252,0.914095079232694
BERT_512_0.0003_10_3_8_custom_Adam-trial,0.7019906323185011,0.4124527003783969,0.0,0.8249054007567941,0.0,0.7019906323185011,0.0,1.0
BERT_512_3e-05_10_3_8_custom_Adam-trial,0.9607728337236534,0.9523243523838448,0.9322548028311428,0.9723939019365472,0.9604166666666668,0.9609120521172638,0.9056974459724952,0.9841534612176814
BERT_512_5e-05_10_3_8_custom_Adam-trial,0.9537470725995316,0.9441833528790052,0.9210789210789212,0.9672877846790888,0.9369918699186992,0.9605263157894736,0.9056974459724952,0.9741451209341118
BERT_512_5e-05_10_3_8_custom_Adam,0.7019906323185011,0.412452700378397,0.0,0.824905400756794,0.0,0.7019906323185011,0.0,1.0
LONG_1024_3e-05_10_3_8_custom_Adam-trial,0.6926229508196722,0.4128558828671386,0.0075614366729678,0.8181503290613094,0.1,0.6996445497630331,0.0039292730844793,0.9849874895746455
LONG_512_3e-05_10_3_8_custom_Adam-trial,0.6902810304449649,0.41379907677435473,0.011214953271028038,0.8163832002776814,0.11538461538461539,0.6991676575505351,0.005893909626719057,0.9808173477898249
